"","x"
"1351","Cebpz"
"1352","Cebpzos"
"1353","Cecr2"
"1354","Cecr2"
"1355","Cecr5"
"1356","Celf1"
"1357","Celf2"
"1358","Celsr1"
"1359","Cend1"
"1360","Cenpa"
"1361","Cenpb"
"1362","Cenpe"
"1363","Cenpe"
"1364","Cenpf"
"1365","Cenph"
"1366","Cenpi"
"1367","Cenpj"
"1368","Cenpk"
"1369","Cenpl"
"1370","Cenpm"
"1371","Cenpn"
"1372","Cenpo"
"1373","Cenpp"
"1374","Cenpq"
"1375","Cenpt"
"1376","Cenpu"
"1377","Cenpv"
"1378","Cep104"
"1379","Cep112"
"1380","Cep120"
"1381","Cep128"
"1382","Cep131"
"1383","Cep135"
"1384","Cep152"
"1385","Cep162"
"1386","Cep164"
"1387","Cep170"
"1388","Cep170b"
"1389","Cep192"
"1390","Cep250"
"1391","Cep290"
"1392","Cep295"
"1393","Cep350"
"1394","Cep41"
"1395","Cep44"
"1396","Cep55"
"1397","Cep57"
"1398","Cep57l1"
"1399","Cep63"
"1400","Cep63"
"1401","Cep68"
"1402","Cep70"
"1403","Cep72"
"1404","Cep76"
"1405","Cep78"
"1406","Cep83"
"1407","Cep85"
"1408","Cep89"
"1409","Cep95"
"1410","Cep97"
"1411","Cept1"
"1412","Cercam"
"1413","Cers1"
"1414","Cers2"
"1415","Cers4"
"1416","Cers5"
"1417","Cetn2"
"1418","Cetn3"
"1419","Cetn4"
"1420","Cfap20"
"1421","Cfap36"
"1422","Cfap74"
"1423","Cfap97"
"1424","Cfdp1"
"1425","Cfi"
"1426","Cfl1"
"1427","Cfl2"
"1428","Cggbp1"
"1429","Cgn"
"1430","Cgnl1"
"1431","Cgref1"
"1432","Chac2"
"1433","Chaf1a"
"1434","Chaf1b"
"1435","Champ1"
"1436","Chchd1"
"1437","Chchd10"
"1438","Chchd2"
"1439","Chchd3"
"1440","Chchd4"
"1441","Chchd5"
"1442","Chchd6"
"1443","Chchd7"
"1444","Chd1"
"1445","Chd1l"
"1446","Chd2"
"1447","Chd3"
"1448","Chd4"
"1449","Chd4"
"1450","Chd6"
"1451","Chd7"
"1452","Chd8"
"1453","Chd9"
"1454","Chek1"
"1455","Chek2"
"1456","Cherp"
"1457","Chfr"
"1458","Chic2"
"1459","Chid1"
"1460","Chka"
"1461","Chkb"
"1462","Chm"
"1463","Chml"
"1464","Chmp1a"
"1465","Chmp2a"
"1466","Chmp2b"
"1467","Chmp3"
"1468","Chmp4b"
"1469","Chmp4c"
"1470","Chmp5"
"1471","Chmp6"
"1472","Chmp7"
"1473","Chn1"
"1474","Chordc1"
"1475","Chp1"
"1476","Chpf"
"1477","Chrac1"
"1478","Chst12"
"1479","Chtf18"
"1480","Chtf8"
"1481","Chtf8"
"1482","Chtop"
"1483","Chuk"
"1484","Churc1"
"1485","Ciao1"
"1486","Ciapin1"
"1487","Cib1"
"1488","Cic"
"1489","Cilp2"
"1490","Cinp"
"1491","Cipc"
"1492","Cir1"
"1493","Cirbp"
"1494","Cirh1a"
"1495","Cisd1"
"1496","Cisd2"
"1497","Cisd3"
"1498","Cit"
"1499","Cit"
"1500","Ciz1"
"1501","Ckap2"
"1502","Ckap2l"
"1503","Ckap4"
"1504","Ckap5"
"1505","Ckb"
"1506","Ckm"
"1507","Ckmt1"
"1508","Cks1b"
"1509","Cks2"
"1510","Clasp1"
"1511","Clasp2"
"1512","Clasp2"
"1513","Clasrp"
"1514","Clcc1"
"1515","Clcn2"
"1516","Clcn3"
"1517","Clcn5"
"1518","Clcn6"
"1519","Clcn7"
"1520","Cldn12"
"1521","Cldn3"
"1522","Cldn4"
"1523","Cldn6"
"1524","Cldn7"
"1525","Cldnd1"
"1526","Clec16a"
"1527","Clgn"
"1528","Clic1"
"1529","Clic4"
"1530","Clic6"
"1531","Clint1"
"1532","Clint1"
"1533","Clip1"
"1534","Clip1"
"1535","Clip1"
"1536","Clip2"
"1537","Clip4"
"1538","Clk1"
"1539","Clk2"
"1540","Clk3"
"1541","Clk4"
"1542","Clmn"
"1543","Cln5"
"1544","Cln8"
"1545","Clns1a"
"1546","Clock"
"1547","Clp1"
"1548","Clpb"
"1549","Clpp"
"1550","Clptm1"
"1551","Clptm1l"
"1552","Clpx"
"1553","Clspn"
"1554","Clstn1"
"1555","Clta"
"1556","Clta"
"1557","Cltb"
"1558","Cltc"
"1559","Clu"
"1560","Cluap1"
"1561","Cluh"
"1562","Cluh"
"1563","Clybl"
"1564","Cmas"
"1565","Cmc1"
"1566","Cmc2"
"1567","Cmip"
"1568","Cmpk1"
"1569","Cmss1"
"1570","Cmtm6"
"1571","Cmtm7"
"1572","Cmtr1"
"1573","Cmtr2"
"1574","Cnbp"
"1575","Cnbp"
"1576","Cndp2"
"1577","Cnep1r1"
"1578","Cnih1"
"1579","Cnih4"
"1580","Cnksr1"
"1581","Cnksr3"
"1582","Cnn1"
"1583","Cnn2"
"1584","Cnn3"
"1585","Cnnm2"
"1586","Cnnm3"
"1587","Cnnm4"
"1588","Cnot1"
"1589","Cnot1"
"1590","Cnot1"
"1591","Cnot10"
"1592","Cnot10"
"1593","Cnot11"
"1594","Cnot2"
"1595","Cnot3"
"1596","Cnot4"
"1597","Cnot4"
"1598","Cnot6"
"1599","Cnot6l"
"1600","Cnot7"
"1601","Cnot8"
"1602","Cnp"
"1603","Cnpy2"
"1604","Cnpy3"
"1605","Cnpy4"
"1606","Cnst"
"1607","Cntfr"
"1608","Cntnap2"
"1609","Cntrl"
"1610","Cntrob"
"1611","Coa3"
"1612","Coa5"
"1613","Coa6"
"1614","Coa7"
"1615","Coasy"
"1616","Cobl"
"1617","Cobll1"
"1618","Cog1"
"1619","Cog2"
"1620","Cog3"
"1621","Cog4"
"1622","Cog5"
"1623","Cog6"
"1624","Cog7"
"1625","Cog8"
"1626","Coil"
"1627","Col14a1"
"1628","Col18a1"
"1629","Col4a3bp"
"1630","Col5a1"
"1631","Col9a2"
"1632","Colec12"
"1633","Colgalt1"
"1634","Commd1"
"1635","Commd10"
"1636","Commd2"
"1637","Commd3"
"1638","Commd4"
"1639","Commd5"
"1640","Commd6"
"1641","Commd7"
"1642","Commd8"
"1643","Commd9"
"1644","Comt"
"1645","Comtd1"
"1646","Copa"
"1647","Copb1"
"1648","Copb2"
"1649","Cope"
"1650","Copg1"
"1651","Copg2"
"1652","Coprs"
"1653","Cops2"
"1654","Cops3"
"1655","Cops4"
"1656","Cops5"
"1657","Cops6"
"1658","Cops7a"
"1659","Cops7b"
"1660","Cops8"
"1661","Copz1"
"1662","Copz2"
"1663","Coq3"
"1664","Coq4"
"1665","Coq5"
"1666","Coq6"
"1667","Coq7"
"1668","Coq9"
"1669","Coro1a"
"1670","Coro1b"
"1671","Coro1c"
"1672","Coro2b"
"1673","Coro7"
"1674","Cotl1"
"1675","Cox10"
"1676","Cox11"
"1677","Cox15"
"1678","Cox17"
"1679","Cox18"
"1680","Cox19"
"1681","Cox20"
"1682","Cox4i1"
"1683","Cox5a"
"1684","Cox5b"
"1685","Cox6a1"
"1686","Cox6b1"
"1687","Cox6c"
"1688","Cox7a1"
"1689","Cox7a2"
"1690","Cox7a2l"
"1691","Cox7c"
"1692","Cpd"
"1693","Cpeb1"
"1694","Cpeb3"
"1695","Cpeb4"
"1696","Cpne1"
"1697","Cpne2"
"1698","Cpne3"
"1699","Cpox"
"1700","Cpped1"
"1701","Cps1"
"1702","Cpsf1"
"1703","Cpsf2"
"1704","Cpsf3"
"1705","Cpsf3l"
"1706","Cpsf4"
"1707","Cpsf6"
"1708","Cpsf7"
"1709","Cpt1a"
"1710","Cpt1c"
"1711","Cpt2"
"1712","Cpxm1"
"1713","Cr1l"
"1714","Crabp1"
"1715","Crabp2"
"1716","Cradd"
"1717","Cramp1l"
"1718","Crat"
"1719","Crb3"
"1720","Crb3"
"1721","Crbn"
"1722","Crcp"
"1723","Creb1"
"1724","Crebbp"
"1725","Crebzf"
"1726","Creg1"
"1727","Creg1"
"1728","Creg2"
"1729","Creld1"
"1730","Creld2"
"1731","Crip1"
"1732","Crip2"
"1733","Cript"
"1734","Crk"
"1735","Crkl"
"1736","Crlf3"
"1737","Crlf3"
"1738","Crls1"
"1739","Crmp1"
"1740","Crnkl1"
"1741","Crocc"
"1742","Crocc"
"1743","Crot"
"1744","Crtap"
"1745","Crtc1"
"1746","Crtc2"
"1747","Crxos"
"1748","Cry1"
"1749","Cry2"
"1750","Cryab"
"1751","Crygd"
"1752","Cryl1"
"1753","Crym"
"1754","Cryz"
"1755","Cryzl1"
"1756","Cs"
"1757","Csad"
"1758","Csde1"
"1759","Cse1l"
"1760","Csgalnact2"
"1761","Csk"
"1762","Csnk1a1"
"1763","Csnk1a1"
"1764","Csnk1d"
"1765","Csnk1e"
"1766","Csnk1g1"
"1767","Csnk1g2"
"1768","Csnk1g3"
"1769","Csnk2a1"
"1770","Csnk2a2"
"1771","Csnk2b"
"1772","Csnk2b"
"1773","Cspp1"
"1774","Csrnp2"
"1775","Csrp1"
"1776","Csrp2"
"1777","Csrp2bp"
"1778","Cst3"
"1779","Cstb"
"1780","Cstf1"
"1781","Cstf2"
"1782","Cstf2"
"1783","Cstf2t"
"1784","Cstf3"
"1785","Ctage5"
"1786","Ctbp1"
"1787","Ctbp1"
"1788","Ctbp2"
"1789","Ctbs"
"1790","Ctc1"
"1791","Ctc1"
"1792","Ctcf"
"1793","Ctdnep1"
"1794","Ctdp1"
"1795","Ctdsp1"
"1796","Ctdsp2"
"1797","Ctdspl2"
"1798","Ctf1"
"1799","Ctgf"
"1800","Cth"
"1801","Cthrc1"
"1802","Ctif"
"1803","Ctnna1"
"1804","Ctnna2"
"1805","Ctnnal1"
"1806","Ctnnb1"
"1807","Ctnnbip1"
"1808","Ctnnbl1"
"1809","Ctnnd1"
"1810","Ctnnd2"
"1811","Ctps2"
"1812","Ctr9"
"1813","Ctsa"
"1814","Ctsb"
"1815","Ctsc"
"1816","Ctsd"
"1817","Ctsf"
"1818","Ctsl"
"1819","Ctsz"
"1820","Cttn"
"1821","Cttnbp2"
"1822","Cttnbp2nl"
"1823","Ctu1"
"1824","Ctu2"
"1825","Cuedc1"
"1826","Cuedc2"
"1827","Cul1"
"1828","Cul2"
"1829","Cul3"
"1830","Cul4a"
"1831","Cul4b"
"1832","Cul4b"
"1833","Cul5"
"1834","Cul5"
"1835","Cul7"
"1836","Cuta"
"1837","Cutc"
"1838","Cux1"
"1839","Cux1"
"1840","Cux1"
"1841","Cwc15"
"1842","Cwc22"
"1843","Cwc25"
"1844","Cwc27"
"1845","Cwf19l1"
"1846","Cwf19l2"
"1847","Cxadr"
"1848","Cxxc1"
"1849","Cxxc5"
"1850","Cyb561"
"1851","Cyb561d2"
"1852","Cyb5a"
"1853","Cyb5b"
"1854","Cyb5r1"
"1855","Cyb5r3"
"1856","Cyb5r4"
"1857","Cyba"
"1858","Cyc1"
"1859","Cycs"
"1860","Cyfip1"
"1861","Cyfip2"
"1862","Cyhr1"
"1863","Cyhr1"
"1864","Cyld"
"1865","Cyp11a1"
"1866","Cyp1a1"
"1867","Cyp20a1"
"1868","Cyp2j6"
"1869","Cyp4f13"
"1870","Cyp4f16"
"1871","Cyr61"
"1872","Cystm1"
"1873","Cyth2"
"1874","Cyth4"
"1875","D030056L22Rik"
"1876","D10Jhu81e"
"1877","D10Wsu102e"
"1878","D11Wsu47e"
"1879","D130040H23Rik"
"1880","D17Wsu92e"
"1881","D1Pas1"
"1882","D2hgdh"
"1883","D2Wsu81e"
"1884","D6Wsu163e"
"1885","D8Ertd738e"
"1886","D8Ertd82e"
"1887","Daam1"
"1888","Dab2"
"1889","Dab2ip"
"1890","Dact2"
"1891","Dad1"
"1892","Dag1"
"1893","Dalrd3"
"1894","Dap3"
"1895","Dapk1"
"1896","Dapk3"
"1897","Dapp1"
"1898","Dars"
"1899","Dars2"
"1900","Daxx"
"1901","Dazap1"
"1902","Dazl"
"1903","Dbf4"
"1904","Dbi"
"1905","Dbn1"
"1906","Dbnl"
"1907","Dbr1"
"1908","Dbt"
"1909","Dcaf10"
"1910","Dcaf11"
"1911","Dcaf12"
"1912","Dcaf12l1"
"1913","Dcaf13"
"1914","Dcaf15"
"1915","Dcaf17"
"1916","Dcaf4"
"1917","Dcaf5"
"1918","Dcaf6"
"1919","Dcaf7"
"1920","Dcaf8"
"1921","Dcakd"
"1922","Dcbld1"
"1923","Dcbld2"
"1924","Dck"
"1925","Dclk1"
"1926","Dclk2"
"1927","Dclk3"
"1928","Dclre1b"
"1929","Dclre1c"
"1930","Dcp1a"
"1931","Dcp1b"
"1932","Dcp2"
"1933","Dcps"
"1934","Dctd"
"1935","Dctn1"
"1936","Dctn1"
"1937","Dctn2"
"1938","Dctn3"
"1939","Dctn4"
"1940","Dctn5"
"1941","Dctn6"
"1942","Dctpp1"
"1943","Dcun1d1"
"1944","Dcun1d3"
"1945","Dcun1d4"
"1946","Dcun1d5"
"1947","Dcxr"
"1948","Dda1"
"1949","Ddah1"
"1950","Ddah2"
"1951","Ddb1"
"1952","Ddb2"
"1953","Ddc"
"1954","Ddhd1"
"1955","Ddhd2"
"1956","Ddi2"
"1957","Ddost"
"1958","Ddrgk1"
"1959","Ddt"
"1960","Ddx1"
"1961","Ddx10"
"1962","Ddx11"
"1963","Ddx17"
"1964","Ddx18"
"1965","Ddx19a"
"1966","Ddx19b"
"1967","Ddx19b"
"1968","Ddx20"
"1969","Ddx21"
"1970","Ddx23"
"1971","Ddx24"
"1972","Ddx25"
"1973","Ddx26b"
"1974","Ddx27"
"1975","Ddx28"
"1976","Ddx31"
"1977","Ddx39b"
"1978","Ddx3x"
"1979","Ddx3y"
"1980","Ddx4"
"1981","Ddx41"
"1982","Ddx42"
"1983","Ddx43"
"1984","Ddx46"
"1985","Ddx47"
"1986","Ddx49"
"1987","Ddx5"
"1988","Ddx50"
"1989","Ddx51"
"1990","Ddx52"
"1991","Ddx54"
"1992","Ddx55"
"1993","Ddx56"
"1994","Ddx58"
"1995","Ddx59"
"1996","Ddx6"
"1997","Decr1"
"1998","Decr2"
"1999","Dedd"
"2000","Def6"
"2001","Def8"
"2002","Degs1"
"2003","Dek"
"2004","Dennd1a"
"2005","Dennd1b"
"2006","Dennd2a"
"2007","Dennd2c"
"2008","Dennd2d"
"2009","Dennd4a"
"2010","Dennd4b"
"2011","Dennd4c"
"2012","Dennd5a"
"2013","Dennd5b"
"2014","Dennd6a"
"2015","Denr"
"2016","Depdc1a"
"2017","Depdc1b"
"2018","Depdc5"
"2019","Depdc7"
"2020","Deptor"
"2021","Dera"
"2022","Derl1"
"2023","Derl2"
"2024","Des"
"2025","Desi1"
"2026","Desi2"
"2027","Dffa"
"2028","Dffa"
"2029","Dffb"
"2030","Dfna5"
"2031","Dgat1"
"2032","Dgcr14"
"2033","Dgcr14"
"2034","Dgcr2"
"2035","Dgcr6"
"2036","Dgcr8"
"2037","Dgka"
"2038","Dgkd"
"2039","Dgke"
"2040","Dgkh"
"2041","Dgkq"
"2042","Dgkz"
"2043","Dgkz"
"2044","Dguok"
"2045","Dhcr24"
"2046","Dhcr7"
"2047","Dhdds"
"2048","Dhdh"
"2049","Dhfr"
"2050","Dhodh"
"2051","Dhps"
"2052","Dhrs1"
"2053","Dhrs11"
"2054","Dhrs13"
"2055","Dhrs4"
"2056","Dhrs7"
"2057","Dhrs7b"
"2058","Dhtkd1"
"2059","Dhx15"
"2060","Dhx16"
"2061","Dhx29"
"2062","Dhx30"
"2063","Dhx30"
"2064","Dhx32"
"2065","Dhx33"
"2066","Dhx34"
"2067","Dhx35"
"2068","Dhx36"
"2069","Dhx37"
"2070","Dhx38"
"2071","Dhx40"
"2072","Dhx57"
"2073","Dhx8"
"2074","Dhx9"
"2075","Diablo"
"2076","Diap1"
"2077","Dicer1"
"2078","Dido1"
"2079","Diexf"
"2080","Dimt1"
"2081","Dip2a"
"2082","Dip2b"
"2083","Dip2b"
"2084","Dip2c"
"2085","Dirc2"
"2086","Dis3"
"2087","Dis3l"
"2088","Dis3l2"
"2089","Dixdc1"
"2090","Dkc1"
"2091","Dkc1"
"2092","Dlat"
"2093","Dlc1"
"2094","Dld"
"2095","Dlg1"
"2096","Dlg1"
"2097","Dlg1"
"2098","Dlg2"
"2099","Dlg3"
"2100","Dlg5"
"2101","Dlgap1"
"2102","Dlgap3"
"2103","Dlgap4"
"2104","Dlgap5"
"2105","Dlk1"
"2106","Dlst"
"2107","Dmap1"
"2108","Dmd"
"2109","Dmd"
"2110","Dmgdh"
"2111","Dmrt1"
"2112","Dmtf1"
"2113","Dmtn"
"2114","Dmwd"
"2115","Dmxl1"
"2116","Dmxl2"
"2117","Dna2"
"2118","Dnaaf2"
"2119","Dnaaf3"
"2120","Dnaaf5"
"2121","Dnah1"
"2122","Dnah7b"
"2123","Dnah8"
"2124","Dnaja1"
"2125","Dnaja2"
"2126","Dnaja3"
"2127","Dnaja3"
"2128","Dnaja4"
"2129","Dnajb1"
"2130","Dnajb11"
"2131","Dnajb12"
"2132","Dnajb2"
"2133","Dnajb3"
"2134","Dnajb5"
"2135","Dnajb6"
"2136","Dnajb6"
"2137","Dnajc1"
"2138","Dnajc10"
"2139","Dnajc11"
"2140","Dnajc12"
"2141","Dnajc13"
"2142","Dnajc14"
"2143","Dnajc15"
"2144","Dnajc16"
"2145","Dnajc17"
"2146","Dnajc18"
"2147","Dnajc19"
"2148","Dnajc2"
"2149","Dnajc21"
"2150","Dnajc24"
"2151","Dnajc24"
"2152","Dnajc25"
"2153","Dnajc28"
"2154","Dnajc3"
"2155","Dnajc5"
"2156","Dnajc6"
"2157","Dnajc6"
"2158","Dnajc7"
"2159","Dnajc8"
"2160","Dnajc9"
"2161","Dnal1"
"2162","Dnal4"
"2163","Dnd1"
"2164","Dnhd1"
"2165","Dnlz"
"2166","Dnm1l"
"2167","Dnm1l"
"2168","Dnm1l"
"2169","Dnm2"
"2170","Dnm2"
"2171","Dnm2"
"2172","Dnm3"
"2173","Dnmbp"
"2174","Dnmt1"
"2175","Dnmt3a"
"2176","Dnmt3a"
"2177","Dnmt3a"
"2178","Dnmt3a"
"2179","Dnmt3b"
"2180","Dnmt3b"
"2181","Dnmt3l"
"2182","Dnpep"
"2183","Dnph1"
"2184","Dnttip1"
"2185","Dnttip2"
"2186","Doc2a"
"2187","Dock1"
"2188","Dock10"
"2189","Dock11"
"2190","Dock4"
"2191","Dock5"
"2192","Dock6"
"2193","Dock7"
"2194","Dock9"
"2195","Dock9"
"2196","Dohh"
"2197","Dok1"
"2198","Dok2"
"2199","Dolpp1"
"2200","Donson"
"2201","Dopey1"
"2202","Dopey2"
"2203","Dot1l"
"2204","Dpcd"
"2205","Dpcd"
"2206","Dpf1"
"2207","Dpf2"
"2208","Dpf3"
"2209","Dph1"
"2210","Dph2"
"2211","Dph3"
"2212","Dph5"
"2213","Dph6"
"2214","Dph7"
"2215","Dpm1"
"2216","Dpm3"
"2217","Dpp4"
"2218","Dpp7"
"2219","Dpp8"
"2220","Dpp9"
"2221","Dppa2"
"2222","Dppa3"
"2223","Dppa4"
"2224","Dppa5a"
"2225","Dpy19l1"
"2226","Dpy19l3"
"2227","Dpy30"
"2228","Dpysl2"
"2229","Dpysl3"
"2230","Dpysl4"
"2231","Dpysl5"
"2232","Dr1"
"2233","Drap1"
"2234","Drap1"
"2235","Drg1"
"2236","Drg2"
"2237","Drosha"
"2238","Dscr3"
"2239","Dse"
"2240","Dsg2"
"2241","Dsn1"
"2242","Dsp"
"2243","Dst"
"2244","Dst"
"2245","Dst"
"2246","Dst"
"2247","Dstn"
"2248","Dstyk"
"2249","Dtd1"
"2250","Dtd2"
"2251","Dtl"
"2252","Dtna"
"2253","Dtnb"
"2254","Dtnbp1"
"2255","Dtwd1"
"2256","Dtwd2"
"2257","Dtx2"
"2258","Dtx3"
"2259","Dtx3l"
"2260","Dtymk"
"2261","Dus1l"
"2262","Dus2"
"2263","Dus3l"
"2264","Dus4l"
"2265","Dusp1"
"2266","Dusp11"
"2267","Dusp12"
"2268","Dusp16"
"2269","Dusp19"
"2270","Dusp22"
"2271","Dusp27"
"2272","Dusp28"
"2273","Dusp3"
"2274","Dusp4"
"2275","Dusp5"
"2276","Dusp6"
"2277","Dusp7"
"2278","Dusp9"
"2279","Dut"
"2280","Dut"
"2281","Dvl1"
"2282","Dvl2"
"2283","Dvl3"
"2284","Dxo"
"2285","Dym"
"2286","Dync1h1"
"2287","Dync1i1"
"2288","Dync1i2"
"2289","Dync1li1"
"2290","Dync1li2"
"2291","Dync2h1"
"2292","Dync2li1"
"2293","Dynll1"
"2294","Dynll2"
"2295","Dynlrb1"
"2296","Dyrk1a"
"2297","Dyrk1b"
"2298","Dyrk3"
"2299","Dzip1l"
"2300","Dzip3"
"2301","E2f3"
"2302","E2f4"
"2303","E2f5"
"2304","E2f6"
"2305","E2f7"
"2306","E2f8"
"2307","E4f1"
"2308","Eaf1"
"2309","Eapp"
"2310","Ears2"
"2311","Ebag9"
"2312","Ebf2"
"2313","Ebna1bp2"
"2314","Ebp"
"2315","Ebpl"
"2316","Ecd"
"2317","Ece1"
"2318","Ece2"
"2319","Ece2"
"2320","Ech1"
"2321","Echdc1"
"2322","Echdc2"
"2323","Echs1"
"2324","Eci1"
"2325","Eci2"
"2326","Ecsit"
"2327","Ect2"
"2328","Eda2r"
"2329","Edc3"
"2330","Edc4"
"2331","Edem3"
"2332","Edf1"
"2333","Edrf1"
"2334","Eea1"
"2335","Eed"
"2336","Eef1a1"
"2337","Eef1a2"
"2338","Eef1d"
"2339","Eef1d"
"2340","Eef1d"
"2341","Eef1e1"
"2342","Eef1g"
"2343","Eef2"
"2344","Eef2k"
"2345","Eef2kmt"
"2346","Eefsec"
"2347","Efcab2"
"2348","Efcab6"
"2349","Efcab7"
"2350","Efhd1"
"2351","Efhd2"
"2352","Efnb2"
"2353","Efr3a"
"2354","Efr3b"
"2355","Efs"
"2356","Eftud1"
"2357","Eftud2"
"2358","Egfl7"
"2359","Egln1"
"2360","Egr1"
"2361","Ehbp1"
"2362","Ehbp1"
"2363","Ehd1"
"2364","Ehd3"
"2365","Ehd4"
"2366","Ehf"
"2367","Ehhadh"
"2368","Ehmt1"
"2369","Ehmt1"
"2370","Ehmt1"
"2371","Ehmt2"
"2372","Ei24"
"2373","Eid2"
"2374","Eif1"
"2375","Eif1a"
"2376","Eif1ad"
"2377","Eif1ax"
"2378","Eif1b"
"2379","Eif2a"
"2380","Eif2a"
"2381","Eif2ak1"
"2382","Eif2ak2"
"2383","Eif2ak3"
"2384","Eif2ak4"
"2385","Eif2b1"
"2386","Eif2b2"
"2387","Eif2b3"
"2388","Eif2b4"
"2389","Eif2b4"
"2390","Eif2b5"
"2391","Eif2d"
"2392","Eif2s1"
"2393","Eif2s2"
"2394","Eif2s3x"
"2395","Eif2s3y"
"2396","Eif3a"
"2397","Eif3b"
"2398","Eif3c"
"2399","Eif3d"
"2400","Eif3e"
"2401","Eif3f"
"2402","Eif3g"
"2403","Eif3h"
"2404","Eif3i"
"2405","Eif3j2"
"2406","Eif3k"
"2407","Eif3l"
"2408","Eif3m"
"2409","Eif4a1"
"2410","Eif4a2"
"2411","Eif4a2"
"2412","Eif4a3"
"2413","Eif4b"
"2414","Eif4e"
"2415","Eif4e2"
"2416","Eif4ebp2"
"2417","Eif4enif1"
"2418","Eif4enif1"
"2419","Eif4g1"
"2420","Eif4g1"
"2421","Eif4g1"
"2422","Eif4g1"
"2423","Eif4g1"
"2424","Eif4g2"
"2425","Eif4g2"
"2426","Eif4g3"
"2427","Eif4h"
"2428","Eif5"
"2429","Eif5a"
"2430","Eif5a2"
"2431","Eif5b"
"2432","Eif6"
"2433","Elac2"
"2434","Elavl1"
"2435","Elavl2"
"2436","Elavl3"
"2437","Elf1"
"2438","Elf2"
"2439","Elf2"
"2440","Elf3"
"2441","Elf4"
"2442","Elk1"
"2443","Ell"
"2444","Ell2"
"2445","Ell3"
"2446","Elmo1"
"2447","Elmo2"
"2448","Elmod2"
"2449","Elmsan1"
"2450","Elof1"
"2451","Elovl1"
"2452","Elovl5"
"2453","Elovl6"
"2454","Elp2"
"2455","Elp3"
"2456","Elp3"
"2457","Elp4"
"2458","Elp5"
"2459","Elp6"
"2460","Emb"
"2461","Emc1"
"2462","Emc10"
"2463","Emc2"
"2464","Emc3"
"2465","Emc4"
"2466","Emc6"
"2467","Emc7"
"2468","Emc8"
"2469","Emd"
"2470","Eme1"
"2471","Emg1"
"2472","Emilin2"
"2473","Eml1"
"2474","Eml2"
"2475","Eml3"
"2476","Eml4"
"2477","Eml4"
"2478","En2"
"2479","Enah"
"2480","Enah"
"2481","Enah"
"2482","Enc1"
"2483","Endog"
"2484","Endov"
"2485","Eng"
"2486","Engase"
"2487","Enkd1"
"2488","Eno1"
"2489","Eno2"
"2490","Eno3"
"2491","Enoph1"
"2492","Enox1"
"2493","Enox1"
"2494","Enox2"
"2495","Enpp1"
"2496","Enpp3"
"2497","Enpp4"
"2498","Ensa"
"2499","Enthd2"
"2500","Entpd6"
"2501","Eny2"
"2502","Eogt"
"2503","Eomes"
"2504","Ep300"
"2505","Ep400"
"2506","Ep400"
"2507","Epas1"
"2508","Epb41"
"2509","Epb41l1"
"2510","Epb41l2"
"2511","Epb41l3"
"2512","Epb41l3"
"2513","Epb41l4a"
"2514","Epb41l4b"
"2515","Epb41l5"
"2516","Epc1"
"2517","Epc2"
"2518","Epcam"
"2519","Epdr1"
"2520","Epg5"
"2521","Epha1"
"2522","Epha2"
"2523","Epha4"
"2524","Ephb1"
"2525","Ephb3"
"2526","Ephb4"
"2527","Ephx1"
"2528","Ephx2"
"2529","Epm2aip1"
"2530","Epn1"
"2531","Epn2"
"2532","Epn2"
"2533","Epn3"
"2534","Eprs"
"2535","Eps15"
"2536","Eps15l1"
"2537","Eps15l1"
"2538","Eps8"
"2539","Eps8l2"
"2540","Ept1"
"2541","Eral1"
"2542","Erap1"
"2543","Eras"
"2544","Erbb2"
"2545","Erbb2ip"
"2546","Erbb3"
"2547","Erc1"
"2548","Erc2"
"2549","Ercc1"
"2550","Ercc2"
"2551","Ercc3"
"2552","Ercc4"
"2553","Ercc5"
"2554","Ercc6"
"2555","Ercc6l"
"2556","Ercc6l2"
"2557","Ercc8"
"2558","Erf"
"2559","Ergic1"
"2560","Ergic2"
"2561","Ergic3"
"2562","Erh"
"2563","Erh"
"2564","Eri1"
"2565","Eri2"
"2566","Eri3"
"2567","Erich1"
"2568","Erlec1"
"2569","Erlin1"
"2570","Erlin2"
"2571","Ermp1"
"2572","Ern1"
"2573","Ero1l"
"2574","Ero1lb"
"2575","Erp29"
"2576","Erp44"
"2577","Errfi1"
"2578","Esco1"
"2579","Esco2"
"2580","Esd"
"2581","Esf1"
"2582","Espl1"
"2583","Esrp1"
"2584","Esrp2"
"2585","Esrra"
"2586","Esrrb"
"2587","Esyt1"
"2588","Esyt2"
"2589","Etaa1"
"2590","Etf1"
"2591","Etfa"
"2592","Etfb"
"2593","Etfdh"
"2594","Ethe1"
"2595","Etnk1"
"2596","Etnk2"
"2597","Etohi1"
"2598","Etv3"
"2599","Etv4"
"2600","Etv5"
"2601","Etv6"
"2602","EU599041"
"2603","Eva1b"
"2604","Evi5"
"2605","Evi5"
"2606","Evl"
"2607","Ewsr1"
"2608","Exd2"
"2609","Exo1"
"2610","Exoc1"
"2611","Exoc2"
"2612","Exoc3"
"2613","Exoc4"
"2614","Exoc5"
"2615","Exoc6"
"2616","Exoc6b"
"2617","Exoc7"
"2618","Exoc8"
"2619","Exog"
"2620","Exosc1"
"2621","Exosc10"
"2622","Exosc2"
"2623","Exosc3"
"2624","Exosc4"
"2625","Exosc5"
"2626","Exosc7"
"2627","Exosc8"
"2628","Exosc9"
"2629","Exph5"
