"","x"
"318","Akap12"
"319","Akap13"
"320","Akap13"
"321","Akap17b"
"322","Akap2"
"323","Akap2"
"324","Akap5"
"325","Akap7"
"326","Akap7"
"327","Akap8"
"328","Akap8l"
"329","Akap9"
"330","Akap9"
"331","Akirin1"
"332","Akirin2"
"333","Akr1a1"
"334","Akr1b10"
"335","Akr1b7"
"336","Akr1b8"
"337","Akr1c13"
"338","Akt1"
"339","Akt1s1"
"340","Akt2"
"341","Akt3"
"342","Aktip"
"343","Alad"
"344","Alas1"
"345","Aldh16a1"
"346","Aldh18a1"
"347","Aldh1a1"
"348","Aldh1a7"
"349","Aldh1b1"
"350","Aldh1l1"
"351","Aldh1l2"
"352","Aldh2"
"353","Aldh3a2"
"354","Aldh4a1"
"355","Aldh5a1"
"356","Aldh6a1"
"357","Aldh7a1"
"358","Aldh9a1"
"359","Aldoa"
"360","Aldoa"
"361","Aldoc"
"362","Alg1"
"363","Alg11"
"364","Alg13"
"365","Alg14"
"366","Alg2"
"367","Alg3"
"368","Alg5"
"369","Alg6"
"370","Alg9"
"371","Alkbh1"
"372","Alkbh2"
"373","Alkbh3"
"374","Alkbh4"
"375","Alkbh5"
"376","Alkbh6"
"377","Alkbh7"
"378","Alkbh8"
"379","Alms1"
"380","Alox15"
"381","Alox5"
"382","Alox5ap"
"383","Alpk3"
"384","Alpl"
"385","Als2"
"386","Als2cl"
"387","Alyref"
"388","Alyref2"
"389","Amacr"
"390","Ambra1"
"391","Amd1"
"392","Amdhd2"
"393","Amer1"
"394","Amer2"
"395","Amfr"
"396","Ammecr1"
"397","Ammecr1l"
"398","Amn1"
"399","Amot"
"400","Amotl1"
"401","Amotl2"
"402","Ampd2"
"403","Ampd3"
"404","Amph"
"405","Amt"
"406","Amz2"
"407","Anapc1"
"408","Anapc10"
"409","Anapc11"
"410","Anapc13"
"411","Anapc15"
"412","Anapc16"
"413","Anapc2"
"414","Anapc4"
"415","Anapc5"
"416","Anapc7"
"417","Angel2"
"418","Angel2"
"419","Angpt1"
"420","Ank2"
"421","Ank2"
"422","Ank3"
"423","Ank3"
"424","Ank3"
"425","Ank3"
"426","Ankar"
"427","Ankfy1"
"428","Ankhd1"
"429","Ankhd1"
"430","Ankib1"
"431","Ankle1"
"432","Ankle2"
"433","Ankmy2"
"434","Ankra2"
"435","Ankrd10"
"436","Ankrd10"
"437","Ankrd11"
"438","Ankrd12"
"439","Ankrd13a"
"440","Ankrd13c"
"441","Ankrd16"
"442","Ankrd17"
"443","Ankrd26"
"444","Ankrd27"
"445","Ankrd28"
"446","Ankrd35"
"447","Ankrd39"
"448","Ankrd40"
"449","Ankrd45"
"450","Ankrd46"
"451","Ankrd49"
"452","Ankrd50"
"453","Ankrd54"
"454","Ankrd6"
"455","Ankrd9"
"456","Anks3"
"457","Ankzf1"
"458","Anln"
"459","Ano10"
"460","Ano6"
"461","Anp32a"
"462","Anp32b"
"463","Anp32e"
"464","Anp32e"
"465","Anpep"
"466","Anxa1"
"467","Anxa11"
"468","Anxa2"
"469","Anxa3"
"470","Anxa4"
"471","Anxa5"
"472","Anxa6"
"473","Anxa6"
"474","Anxa7"
"475","Anxa8"
"476","Aox3"
"477","Ap1ar"
"478","Ap1b1"
"479","Ap1g1"
"480","Ap1g2"
"481","Ap1m1"
"482","Ap1m2"
"483","Ap1s1"
"484","Ap1s2"
"485","Ap1s2"
"486","Ap1s3"
"487","Ap2a1"
"488","Ap2a2"
"489","Ap2b1"
"490","Ap2m1"
"491","Ap2s1"
"492","Ap3b1"
"493","Ap3b2"
"494","Ap3d1"
"495","Ap3m1"
"496","Ap3m2"
"497","Ap3s1"
"498","Ap3s2"
"499","Ap4b1"
"500","Ap4e1"
"501","Ap4m1"
"502","Ap4s1"
"503","Ap5b1"
"504","Ap5m1"
"505","Ap5s1"
"506","Ap5z1"
"507","Apaf1"
"508","Apba3"
"509","Apbb1"
"510","Apbb2"
"511","Apbb2"
"512","Apc"
"513","Apeh"
"514","Apex1"
"515","Apex2"
"516","Aph1a"
"517","Api5"
"518","Apip"
"519","Apitd1"
"520","Aplf"
"521","Aplp2"
"522","Apmap"
"523","Apoa1bp"
"524","Apobec1"
"525","Apobec2"
"526","Apobec3"
"527","Apobec3"
"528","Apobr"
"529","Apoc1"
"530","Apoe"
"531","Apoo"
"532","Apool"
"533","Apopt1"
"534","App"
"535","Appbp2"
"536","Appl1"
"537","Appl2"
"538","Aprt"
"539","Aptx"
"540","Aqp3"
"541","Aqr"
"542","Araf"
"543","Araf"
"544","Arap1"
"545","Arap2"
"546","Arc"
"547","Arcn1"
"548","Arf1"
"549","Arf2"
"550","Arf4"
"551","Arf5"
"552","Arf6"
"553","Arfgap1"
"554","Arfgap2"
"555","Arfgap3"
"556","Arfgef1"
"557","Arfgef2"
"558","Arfip1"
"559","Arfip1"
"560","Arfip2"
"561","Arfrp1"
"562","Arglu1"
"563","Arhgap1"
"564","Arhgap10"
"565","Arhgap11a"
"566","Arhgap12"
"567","Arhgap12"
"568","Arhgap17"
"569","Arhgap18"
"570","Arhgap19"
"571","Arhgap21"
"572","Arhgap22"
"573","Arhgap23"
"574","Arhgap26"
"575","Arhgap27"
"576","Arhgap28"
"577","Arhgap29"
"578","Arhgap30"
"579","Arhgap31"
"580","Arhgap32"
"581","Arhgap33"
"582","Arhgap35"
"583","Arhgap39"
"584","Arhgap4"
"585","Arhgap42"
"586","Arhgap5"
"587","Arhgap8"
"588","Arhgdia"
"589","Arhgdib"
"590","Arhgef1"
"591","Arhgef10"
"592","Arhgef10l"
"593","Arhgef11"
"594","Arhgef12"
"595","Arhgef16"
"596","Arhgef17"
"597","Arhgef18"
"598","Arhgef2"
"599","Arhgef25"
"600","Arhgef26"
"601","Arhgef28"
"602","Arhgef39"
"603","Arhgef40"
"604","Arhgef5"
"605","Arhgef6"
"606","Arhgef7"
"607","Arid1a"
"608","Arid1b"
"609","Arid2"
"610","Arid3a"
"611","Arid3b"
"612","Arid4a"
"613","Arid4b"
"614","Arid5b"
"615","Arih1"
"616","Arih2"
"617","Arl1"
"618","Arl13b"
"619","Arl14ep"
"620","Arl14epl"
"621","Arl15"
"622","Arl2"
"623","Arl2bp"
"624","Arl3"
"625","Arl4a"
"626","Arl4c"
"627","Arl5b"
"628","Arl6"
"629","Arl6ip1"
"630","Arl6ip4"
"631","Arl6ip5"
"632","Arl6ip6"
"633","Arl8a"
"634","Arl8b"
"635","Armc1"
"636","Armc10"
"637","Armc5"
"638","Armc6"
"639","Armc8"
"640","Armc9"
"641","Armcx1"
"642","Armcx2"
"643","Armcx3"
"644","Armcx4"
"645","Armcx5"
"646","Armt1"
"647","Arnt"
"648","Arnt"
"649","Arnt2"
"650","Arntl"
"651","Arpc1a"
"652","Arpc1b"
"653","Arpc2"
"654","Arpc3"
"655","Arpc4"
"656","Arpc5"
"657","Arpc5l"
"658","Arpin"
"659","Arpp19"
"660","Arrb1"
"661","Arrb2"
"662","Arrdc1"
"663","Arsb"
"664","Arv1"
"665","As3mt"
"666","Asah1"
"667","Asap1"
"668","Asap2"
"669","Asap3"
"670","Asb3"
"671","Asb6"
"672","Ascc1"
"673","Ascc2"
"674","Ascc3"
"675","Asf1a"
"676","Asf1b"
"677","Ash2l"
"678","Asl"
"679","Asna1"
"680","Asns"
"681","Asnsd1"
"682","Asnsd1"
"683","Aspa"
"684","Asph"
"685","Aspm"
"686","Aspscr1"
"687","Asrgl1"
"688","Ass1"
"689","Aste1"
"690","Asun"
"691","Asxl1"
"692","Asxl2"
"693","Atad1"
"694","Atad2"
"695","Atad2b"
"696","Atad5"
"697","Atat1"
"698","Ate1"
"699","Ate1"
"700","Atf1"
"701","Atf2"
"702","Atf4"
"703","Atf6b"
"704","Atf7ip"
"705","Atf7ip2"
"706","Atg101"
"707","Atg13"
"708","Atg14"
"709","Atg16l1"
"710","Atg2a"
"711","Atg2b"
"712","Atg3"
"713","Atg4b"
"714","Atg5"
"715","Atg7"
"716","Atg9a"
"717","Athl1"
"718","Atic"
"719","Atl2"
"720","Atl3"
"721","Atm"
"722","Atmin"
"723","Atn1"
"724","Atox1"
"725","Atp11b"
"726","Atp11c"
"727","Atp12a"
"728","Atp13a1"
"729","Atp13a3"
"730","Atp1a1"
"731","Atp1a3"
"732","Atp1a4"
"733","Atp1b1"
"734","Atp1b3"
"735","Atp2a2"
"736","Atp2a2"
"737","Atp2a3"
"738","Atp2b1"
"739","Atp2b3"
"740","Atp2b4"
"741","Atp2c1"
"742","Atp4a"
"743","Atp5a1"
"744","Atp5b"
"745","Atp5c1"
"746","Atp5d"
"747","Atp5e"
"748","Atp5f1"
"749","Atp5g2"
"750","Atp5h"
"751","Atp5j"
"752","Atp5j2"
"753","Atp5l"
"754","Atp5o"
"755","Atp5s"
"756","Atp5sl"
"757","Atp6ap1"
"758","Atp6ap2"
"759","Atp6v0a1"
"760","Atp6v0a2"
"761","Atp6v0c"
"762","Atp6v0d1"
"763","Atp6v1a"
"764","Atp6v1b2"
"765","Atp6v1c1"
"766","Atp6v1c2"
"767","Atp6v1d"
"768","Atp6v1e1"
"769","Atp6v1f"
"770","Atp6v1g1"
"771","Atp6v1h"
"772","Atp6v1h"
"773","Atp7a"
"774","Atp7b"
"775","Atp8a1"
"776","Atp8b2"
"777","Atp9a"
"778","Atp9b"
"779","Atpaf1"
"780","Atpaf2"
"781","Atpif1"
"782","Atpif1"
"783","Atr"
"784","Atr"
"785","Atraid"
"786","Atrip"
"787","Atrn"
"788","Atrx"
"789","Atrx"
"790","Atxn10"
"791","Atxn1l"
"792","Atxn2"
"793","Atxn2"
"794","Atxn2"
"795","Atxn2l"
"796","Atxn7l2"
"797","Atxn7l3"
"798","Atxn7l3b"
"799","AU018091"
"800","AU019823"
"801","AU022751"
"802","AU041133"
"803","Auh"
"804","Aunip"
"805","Aup1"
"806","Aurka"
"807","Aurkaip1"
"808","Aurkb"
"809","Aurkc"
"810","Auts2"
"811","Aven"
"812","Avl9"
"813","Avpi1"
"814","Axin1"
"815","Axin2"
"816","Azi2"
"817","B230307C23Rik"
"818","B3galt6"
"819","B3gat3"
"820","B3gnt7"
"821","B3gntl1"
"822","B4galnt3"
"823","B4galnt4"
"824","B4galt1"
"825","B4galt3"
"826","B4galt5"
"827","B4galt6"
"828","B4galt7"
"829","B4gat1"
"830","B9d1"
"831","B9d2"
"832","Babam1"
"833","Bach1"
"834","Bach2"
"835","Bag1"
"836","Bag2"
"837","Bag3"
"838","Bag4"
"839","Bag5"
"840","Bag6"
"841","Bahcc1"
"842","Bahd1"
"843","Baiap2"
"844","Baiap2"
"845","Baiap2l1"
"846","Bak1"
"847","Banf1"
"848","Banp"
"849","Bap1"
"850","Bard1"
"851","Basp1"
"852","Bax"
"853","Baz1a"
"854","Baz1b"
"855","Baz2a"
"856","Baz2b"
"857","Bbc3"
"858","Bbip1"
"859","Bbs1"
"860","Bbs2"
"861","Bbs5"
"862","Bbs7"
"863","Bbs9"
"864","Bbx"
"865","Bbx"
"866","BC017158"
"867","BC024978"
"868","BC026585"
"869","BC027231"
"870","BC048403"
"871","BC051019"
"872","BC052040"
"873","Bcam"
"874","Bcap29"
"875","Bcap31"
"876","Bcar1"
"877","Bcar1"
"878","Bcar3"
"879","Bcas2"
"880","Bcas3"
"881","Bcas3"
"882","Bcat1"
"883","Bcat2"
"884","Bccip"
"885","Bcdin3d"
"886","Bche"
"887","Bckdha"
"888","Bckdhb"
"889","Bckdk"
"890","Bcl10"
"891","Bcl11a"
"892","Bcl2l1"
"893","Bcl2l11"
"894","Bcl2l13"
"895","Bcl2l14"
"896","Bcl3"
"897","Bcl7a"
"898","Bcl7b"
"899","Bcl7c"
"900","Bcl9"
"901","Bcl9l"
"902","Bclaf1"
"903","Bclaf1"
"904","Bcor"
"905","Bcorl1"
"906","Bcr"
"907","Bcs1l"
"908","Bdh1"
"909","Bdp1"
